,ROI1 number,region1,ROI2 number,region2
1495,103,Left Central Opercular Cortex,108,Left Supracalcarine Cortex
1496,50,Right Temporal Fusiform Cortex; anterior division,95,Left Parahippocampal Gyrus; anterior division
1497,88,Left Subcallosal Cortex,44,Right Precuneous Cortex
1498,33,Right Supramarginal Gyrus; posterior division,50,Right Temporal Fusiform Cortex; anterior division
1499,59,Right Planum Temporale,17,Right Middle Frontal Gyrus
1500,77,Left Inferior Temporal Gyrus; temporooccipital part,1,Left Caudate
1501,33,Right Supramarginal Gyrus; posterior division,17,Right Middle Frontal Gyrus
1502,77,Left Inferior Temporal Gyrus; temporooccipital part,13,Right Accumbens
1503,77,Left Inferior Temporal Gyrus; temporooccipital part,21,Right Temporal Pole
1504,27,Right Inferior Temporal Gyrus; anterior division,22,Right Superior Temporal Gyrus; anterior division
1505,33,Right Supramarginal Gyrus; posterior division,12,Right Amygdala
1506,63,Left Insular Cortex,44,Right Precuneous Cortex
1507,38,Right Frontal Medial Cortex,20,Right Precentral Gyrus
1508,108,Left Supracalcarine Cortex,45,Right Cuneal Cortex
1509,28,Right Inferior Temporal Gyrus; posterior division,95,Left Parahippocampal Gyrus; anterior division
1510,28,Right Inferior Temporal Gyrus; posterior division,73,Left Middle Temporal Gyrus; posterior division
1511,63,Left Insular Cortex,77,Left Inferior Temporal Gyrus; temporooccipital part
1512,27,Right Inferior Temporal Gyrus; anterior division,43,Right Cingulate Gyrus; posterior division
1513,32,Right Supramarginal Gyrus; anterior division,62,Left Frontal Pole
1514,78,Left Postcentral Gyrus,101,Left Occipital Fusiform Gyrus
1515,55,Right Central Opercular Cortex,41,Right Paracingulate Gyrus
1516,59,Right Planum Temporale,105,Left Planum Polare
1517,56,Right Parietal Operculum Cortex,36,Right Lateral Occipital Cortex; inferior division
1518,35,Right Lateral Occipital Cortex; superior division,49,Right Lingual Gyrus
1519,94,Left Frontal Orbital Cortex,42,Right Cingulate Gyrus; anterior division
1520,94,Left Frontal Orbital Cortex,8,Right Caudate
1521,8,Right Caudate,33,Right Supramarginal Gyrus; posterior division
1522,95,Left Parahippocampal Gyrus; anterior division,82,Left Angular Gyrus
1523,100,Left Temporal Occipital Fusiform Cortex,32,Right Supramarginal Gyrus; anterior division
1524,99,Left Temporal Fusiform Cortex; posterior division,32,Right Supramarginal Gyrus; anterior division
1525,43,Right Cingulate Gyrus; posterior division,48,Right Parahippocampal Gyrus; posterior division
1526,53,Right Occipital Fusiform Gyrus,45,Right Cuneal Cortex
1527,11,Right Hippocampus,64,Left Superior Frontal Gyrus
1528,99,Left Temporal Fusiform Cortex; posterior division,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1529,100,Left Temporal Occipital Fusiform Cortex,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1530,52,Right Temporal Occipital Fusiform Cortex,102,Left Frontal Operculum Cortex
1531,8,Right Caudate,76,Left Inferior Temporal Gyrus; posterior division
1532,11,Right Hippocampus,7,Right Thalamus
1533,99,Left Temporal Fusiform Cortex; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
1534,94,Left Frontal Orbital Cortex,33,Right Supramarginal Gyrus; posterior division
1535,51,Right Temporal Fusiform Cortex; posterior division,67,Left Inferior Frontal Gyrus; pars opercularis
1536,101,Left Occipital Fusiform Gyrus,44,Right Precuneous Cortex
1537,97,Left Lingual Gyrus,73,Left Middle Temporal Gyrus; posterior division
1538,51,Right Temporal Fusiform Cortex; posterior division,42,Right Cingulate Gyrus; anterior division
1539,97,Left Lingual Gyrus,59,Right Planum Temporale
1540,53,Right Occipital Fusiform Gyrus,54,Right Frontal Operculum Cortex
1541,95,Left Parahippocampal Gyrus; anterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
1542,37,Right Intracalcarine Cortex,108,Left Supracalcarine Cortex
1543,53,Right Occipital Fusiform Gyrus,6,Left Accumbens
1544,91,Left Cingulate Gyrus; posterior division,44,Right Precuneous Cortex
1545,55,Right Central Opercular Cortex,5,Left Amygdala
1546,60,Right Supracalcarine Cortex,22,Right Superior Temporal Gyrus; anterior division
1547,96,Left Parahippocampal Gyrus; posterior division,94,Left Frontal Orbital Cortex
1548,51,Right Temporal Fusiform Cortex; posterior division,92,Left Precuneous Cortex
1549,51,Right Temporal Fusiform Cortex; posterior division,58,Right Heschl's Gyrus (includes H1 and H2)
1550,46,Right Frontal Orbital Cortex,100,Left Temporal Occipital Fusiform Cortex
1551,76,Left Inferior Temporal Gyrus; posterior division,3,Left Pallidum
1552,101,Left Occipital Fusiform Gyrus,5,Left Amygdala
1553,32,Right Supramarginal Gyrus; anterior division,16,Right Superior Frontal Gyrus
1554,38,Right Frontal Medial Cortex,67,Left Inferior Frontal Gyrus; pars opercularis
1555,57,Right Planum Polare,21,Right Temporal Pole
1556,23,Right Superior Temporal Gyrus; posterior division,51,Right Temporal Fusiform Cortex; posterior division
1557,108,Left Supracalcarine Cortex,8,Right Caudate
1558,69,Left Temporal Pole,81,Left Supramarginal Gyrus; posterior division
1559,33,Right Supramarginal Gyrus; posterior division,109,Left Occipital Pole
1560,96,Left Parahippocampal Gyrus; posterior division,18,Right Inferior Frontal Gyrus; pars triangularis
1561,66,Left Inferior Frontal Gyrus; pars triangularis,67,Left Inferior Frontal Gyrus; pars opercularis
1562,53,Right Occipital Fusiform Gyrus,32,Right Supramarginal Gyrus; anterior division
1563,3,Left Pallidum,68,Left Precentral Gyrus
1564,49,Right Lingual Gyrus,25,Right Middle Temporal Gyrus; posterior division
1565,106,Left Heschl's Gyrus (includes H1 and H2),8,Right Caudate
1566,76,Left Inferior Temporal Gyrus; posterior division,10,Right Pallidum
1567,35,Right Lateral Occipital Cortex; superior division,85,Left Intracalcarine Cortex
1568,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),106,Left Heschl's Gyrus (includes H1 and H2)
1569,104,Left Parietal Operculum Cortex,78,Left Postcentral Gyrus
1570,35,Right Lateral Occipital Cortex; superior division,104,Left Parietal Operculum Cortex
1571,51,Right Temporal Fusiform Cortex; posterior division,57,Right Planum Polare
1572,63,Left Insular Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1573,4,Left Hippocampus,64,Left Superior Frontal Gyrus
1574,33,Right Supramarginal Gyrus; posterior division,7,Right Thalamus
1575,104,Left Parietal Operculum Cortex,80,Left Supramarginal Gyrus; anterior division
1576,84,Left Lateral Occipital Cortex; inferior division,91,Left Cingulate Gyrus; posterior division
1577,79,Left Superior Parietal Lobule,36,Right Lateral Occipital Cortex; inferior division
1578,43,Right Cingulate Gyrus; posterior division,66,Left Inferior Frontal Gyrus; pars triangularis
1579,104,Left Parietal Operculum Cortex,26,Right Middle Temporal Gyrus; temporooccipital part
1580,8,Right Caudate,84,Left Lateral Occipital Cortex; inferior division
1581,103,Left Central Opercular Cortex,86,Left Frontal Medial Cortex
1582,4,Left Hippocampus,48,Right Parahippocampal Gyrus; posterior division
1583,13,Right Accumbens,53,Right Occipital Fusiform Gyrus
1584,31,Right Superior Parietal Lobule,105,Left Planum Polare
1585,13,Right Accumbens,60,Right Supracalcarine Cortex
1586,22,Right Superior Temporal Gyrus; anterior division,97,Left Lingual Gyrus
1587,40,Right Subcallosal Cortex,5,Left Amygdala
1588,100,Left Temporal Occipital Fusiform Cortex,80,Left Supramarginal Gyrus; anterior division
1589,4,Left Hippocampus,46,Right Frontal Orbital Cortex
1590,52,Right Temporal Occipital Fusiform Cortex,23,Right Superior Temporal Gyrus; posterior division
1591,40,Right Subcallosal Cortex,92,Left Precuneous Cortex
1592,68,Left Precentral Gyrus,28,Right Inferior Temporal Gyrus; posterior division
1593,76,Left Inferior Temporal Gyrus; posterior division,63,Left Insular Cortex
1594,0,Left Thalamus,50,Right Temporal Fusiform Cortex; anterior division
1595,16,Right Superior Frontal Gyrus,71,Left Superior Temporal Gyrus; posterior division
1596,103,Left Central Opercular Cortex,61,Right Occipital Pole
1597,3,Left Pallidum,99,Left Temporal Fusiform Cortex; posterior division
1598,56,Right Parietal Operculum Cortex,17,Right Middle Frontal Gyrus
1599,29,Right Inferior Temporal Gyrus; temporooccipital part,95,Left Parahippocampal Gyrus; anterior division
1600,95,Left Parahippocampal Gyrus; anterior division,59,Right Planum Temporale
1601,104,Left Parietal Operculum Cortex,21,Right Temporal Pole
1602,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),64,Left Superior Frontal Gyrus
1603,52,Right Temporal Occipital Fusiform Cortex,22,Right Superior Temporal Gyrus; anterior division
1604,34,Right Angular Gyrus,73,Left Middle Temporal Gyrus; posterior division
1605,0,Left Thalamus,30,Right Postcentral Gyrus
1606,95,Left Parahippocampal Gyrus; anterior division,97,Left Lingual Gyrus
1607,21,Right Temporal Pole,24,Right Middle Temporal Gyrus; anterior division
1608,92,Left Precuneous Cortex,10,Right Pallidum
1609,29,Right Inferior Temporal Gyrus; temporooccipital part,12,Right Amygdala
1610,101,Left Occipital Fusiform Gyrus,30,Right Postcentral Gyrus
1611,96,Left Parahippocampal Gyrus; posterior division,58,Right Heschl's Gyrus (includes H1 and H2)
1612,13,Right Accumbens,32,Right Supramarginal Gyrus; anterior division
1613,28,Right Inferior Temporal Gyrus; posterior division,103,Left Central Opercular Cortex
1614,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),38,Right Frontal Medial Cortex
1615,5,Left Amygdala,80,Left Supramarginal Gyrus; anterior division
1616,4,Left Hippocampus,4,Left Hippocampus
1617,43,Right Cingulate Gyrus; posterior division,54,Right Frontal Operculum Cortex
1618,3,Left Pallidum,95,Left Parahippocampal Gyrus; anterior division
1619,61,Right Occipital Pole,73,Left Middle Temporal Gyrus; posterior division
1620,16,Right Superior Frontal Gyrus,2,Left Putamen
1621,37,Right Intracalcarine Cortex,26,Right Middle Temporal Gyrus; temporooccipital part
1622,67,Left Inferior Frontal Gyrus; pars opercularis,107,Left Planum Temporale
1623,13,Right Accumbens,84,Left Lateral Occipital Cortex; inferior division
1624,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),81,Left Supramarginal Gyrus; posterior division
1625,21,Right Temporal Pole,31,Right Superior Parietal Lobule
1626,105,Left Planum Polare,3,Left Pallidum
1627,101,Left Occipital Fusiform Gyrus,32,Right Supramarginal Gyrus; anterior division
1628,95,Left Parahippocampal Gyrus; anterior division,31,Right Superior Parietal Lobule
1629,51,Right Temporal Fusiform Cortex; posterior division,51,Right Temporal Fusiform Cortex; posterior division
1630,28,Right Inferior Temporal Gyrus; posterior division,16,Right Superior Frontal Gyrus
1631,85,Left Intracalcarine Cortex,34,Right Angular Gyrus
1632,13,Right Accumbens,30,Right Postcentral Gyrus
1633,89,Left Paracingulate Gyrus,109,Left Occipital Pole
1634,31,Right Superior Parietal Lobule,102,Left Frontal Operculum Cortex
1635,86,Left Frontal Medial Cortex,77,Left Inferior Temporal Gyrus; temporooccipital part
1636,32,Right Supramarginal Gyrus; anterior division,3,Left Pallidum
1637,52,Right Temporal Occipital Fusiform Cortex,17,Right Middle Frontal Gyrus
1638,3,Left Pallidum,92,Left Precuneous Cortex
1639,46,Right Frontal Orbital Cortex,97,Left Lingual Gyrus
1640,15,Right Insular Cortex,33,Right Supramarginal Gyrus; posterior division
1641,40,Right Subcallosal Cortex,98,Left Temporal Fusiform Cortex; anterior division
1642,76,Left Inferior Temporal Gyrus; posterior division,86,Left Frontal Medial Cortex
1643,64,Left Superior Frontal Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
1644,28,Right Inferior Temporal Gyrus; posterior division,105,Left Planum Polare
1645,16,Right Superior Frontal Gyrus,55,Right Central Opercular Cortex
1646,103,Left Central Opercular Cortex,109,Left Occipital Pole
1647,89,Left Paracingulate Gyrus,47,Right Parahippocampal Gyrus; anterior division
1648,40,Right Subcallosal Cortex,26,Right Middle Temporal Gyrus; temporooccipital part
1649,6,Left Accumbens,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1650,11,Right Hippocampus,44,Right Precuneous Cortex
1651,98,Left Temporal Fusiform Cortex; anterior division,50,Right Temporal Fusiform Cortex; anterior division
1652,38,Right Frontal Medial Cortex,4,Left Hippocampus
1653,105,Left Planum Polare,17,Right Middle Frontal Gyrus
1654,68,Left Precentral Gyrus,94,Left Frontal Orbital Cortex
1655,13,Right Accumbens,18,Right Inferior Frontal Gyrus; pars triangularis
1656,36,Right Lateral Occipital Cortex; inferior division,41,Right Paracingulate Gyrus
1657,88,Left Subcallosal Cortex,78,Left Postcentral Gyrus
1658,36,Right Lateral Occipital Cortex; inferior division,67,Left Inferior Frontal Gyrus; pars opercularis
1659,59,Right Planum Temporale,57,Right Planum Polare
1660,55,Right Central Opercular Cortex,45,Right Cuneal Cortex
1661,38,Right Frontal Medial Cortex,23,Right Superior Temporal Gyrus; posterior division
1662,11,Right Hippocampus,52,Right Temporal Occipital Fusiform Cortex
1663,4,Left Hippocampus,45,Right Cuneal Cortex
1664,40,Right Subcallosal Cortex,88,Left Subcallosal Cortex
1665,89,Left Paracingulate Gyrus,33,Right Supramarginal Gyrus; posterior division
1666,55,Right Central Opercular Cortex,38,Right Frontal Medial Cortex
1667,94,Left Frontal Orbital Cortex,18,Right Inferior Frontal Gyrus; pars triangularis
1668,49,Right Lingual Gyrus,10,Right Pallidum
1669,28,Right Inferior Temporal Gyrus; posterior division,30,Right Postcentral Gyrus
1670,40,Right Subcallosal Cortex,34,Right Angular Gyrus
1671,78,Left Postcentral Gyrus,3,Left Pallidum
1672,29,Right Inferior Temporal Gyrus; temporooccipital part,81,Left Supramarginal Gyrus; posterior division
1673,76,Left Inferior Temporal Gyrus; posterior division,20,Right Precentral Gyrus
1674,78,Left Postcentral Gyrus,4,Left Hippocampus
1675,78,Left Postcentral Gyrus,14,Right Frontal Pole
1676,96,Left Parahippocampal Gyrus; posterior division,77,Left Inferior Temporal Gyrus; temporooccipital part
1677,55,Right Central Opercular Cortex,43,Right Cingulate Gyrus; posterior division
1678,32,Right Supramarginal Gyrus; anterior division,103,Left Central Opercular Cortex
1679,10,Right Pallidum,97,Left Lingual Gyrus
1680,105,Left Planum Polare,102,Left Frontal Operculum Cortex
1681,97,Left Lingual Gyrus,47,Right Parahippocampal Gyrus; anterior division
1682,34,Right Angular Gyrus,25,Right Middle Temporal Gyrus; posterior division
1683,34,Right Angular Gyrus,22,Right Superior Temporal Gyrus; anterior division
1684,55,Right Central Opercular Cortex,72,Left Middle Temporal Gyrus; anterior division
1685,46,Right Frontal Orbital Cortex,38,Right Frontal Medial Cortex
1686,17,Right Middle Frontal Gyrus,36,Right Lateral Occipital Cortex; inferior division
1687,0,Left Thalamus,80,Left Supramarginal Gyrus; anterior division
1688,59,Right Planum Temporale,32,Right Supramarginal Gyrus; anterior division
1689,27,Right Inferior Temporal Gyrus; anterior division,59,Right Planum Temporale
1690,38,Right Frontal Medial Cortex,74,Left Middle Temporal Gyrus; temporooccipital part
1691,50,Right Temporal Fusiform Cortex; anterior division,56,Right Parietal Operculum Cortex
1692,79,Left Superior Parietal Lobule,75,Left Inferior Temporal Gyrus; anterior division
1693,0,Left Thalamus,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1694,75,Left Inferior Temporal Gyrus; anterior division,30,Right Postcentral Gyrus
1695,15,Right Insular Cortex,28,Right Inferior Temporal Gyrus; posterior division
1696,101,Left Occipital Fusiform Gyrus,109,Left Occipital Pole
1697,70,Left Superior Temporal Gyrus; anterior division,24,Right Middle Temporal Gyrus; anterior division
1698,96,Left Parahippocampal Gyrus; posterior division,95,Left Parahippocampal Gyrus; anterior division
1699,0,Left Thalamus,107,Left Planum Temporale
1700,6,Left Accumbens,81,Left Supramarginal Gyrus; posterior division
1701,46,Right Frontal Orbital Cortex,34,Right Angular Gyrus
1702,14,Right Frontal Pole,79,Left Superior Parietal Lobule
1703,70,Left Superior Temporal Gyrus; anterior division,88,Left Subcallosal Cortex
1704,37,Right Intracalcarine Cortex,14,Right Frontal Pole
1705,97,Left Lingual Gyrus,20,Right Precentral Gyrus
1706,56,Right Parietal Operculum Cortex,11,Right Hippocampus
1707,52,Right Temporal Occipital Fusiform Cortex,95,Left Parahippocampal Gyrus; anterior division
1708,55,Right Central Opercular Cortex,97,Left Lingual Gyrus
1709,73,Left Middle Temporal Gyrus; posterior division,91,Left Cingulate Gyrus; posterior division
1710,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),29,Right Inferior Temporal Gyrus; temporooccipital part
1711,40,Right Subcallosal Cortex,59,Right Planum Temporale
1712,92,Left Precuneous Cortex,109,Left Occipital Pole
1713,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),65,Left Middle Frontal Gyrus
1714,103,Left Central Opercular Cortex,56,Right Parietal Operculum Cortex
1715,99,Left Temporal Fusiform Cortex; posterior division,104,Left Parietal Operculum Cortex
1716,14,Right Frontal Pole,1,Left Caudate
1717,52,Right Temporal Occipital Fusiform Cortex,91,Left Cingulate Gyrus; posterior division
1718,43,Right Cingulate Gyrus; posterior division,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1719,5,Left Amygdala,96,Left Parahippocampal Gyrus; posterior division
1720,50,Right Temporal Fusiform Cortex; anterior division,31,Right Superior Parietal Lobule
1721,59,Right Planum Temporale,15,Right Insular Cortex
1722,0,Left Thalamus,38,Right Frontal Medial Cortex
1723,0,Left Thalamus,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1724,34,Right Angular Gyrus,60,Right Supracalcarine Cortex
1725,0,Left Thalamus,45,Right Cuneal Cortex
1726,14,Right Frontal Pole,30,Right Postcentral Gyrus
1727,57,Right Planum Polare,25,Right Middle Temporal Gyrus; posterior division
1728,106,Left Heschl's Gyrus (includes H1 and H2),52,Right Temporal Occipital Fusiform Cortex
1729,15,Right Insular Cortex,8,Right Caudate
1730,79,Left Superior Parietal Lobule,6,Left Accumbens
1731,13,Right Accumbens,54,Right Frontal Operculum Cortex
1732,95,Left Parahippocampal Gyrus; anterior division,9,Right Putamen
1733,57,Right Planum Polare,44,Right Precuneous Cortex
1734,63,Left Insular Cortex,23,Right Superior Temporal Gyrus; posterior division
1735,38,Right Frontal Medial Cortex,54,Right Frontal Operculum Cortex
1736,17,Right Middle Frontal Gyrus,14,Right Frontal Pole
1737,53,Right Occipital Fusiform Gyrus,38,Right Frontal Medial Cortex
1738,96,Left Parahippocampal Gyrus; posterior division,92,Left Precuneous Cortex
1739,38,Right Frontal Medial Cortex,58,Right Heschl's Gyrus (includes H1 and H2)
1740,28,Right Inferior Temporal Gyrus; posterior division,2,Left Putamen
1741,41,Right Paracingulate Gyrus,106,Left Heschl's Gyrus (includes H1 and H2)
1742,63,Left Insular Cortex,8,Right Caudate
1743,99,Left Temporal Fusiform Cortex; posterior division,31,Right Superior Parietal Lobule
1744,104,Left Parietal Operculum Cortex,57,Right Planum Polare
1745,16,Right Superior Frontal Gyrus,44,Right Precuneous Cortex
1746,4,Left Hippocampus,75,Left Inferior Temporal Gyrus; anterior division
1747,79,Left Superior Parietal Lobule,57,Right Planum Polare
1748,52,Right Temporal Occipital Fusiform Cortex,74,Left Middle Temporal Gyrus; temporooccipital part
1749,101,Left Occipital Fusiform Gyrus,77,Left Inferior Temporal Gyrus; temporooccipital part
1750,11,Right Hippocampus,70,Left Superior Temporal Gyrus; anterior division
1751,32,Right Supramarginal Gyrus; anterior division,108,Left Supracalcarine Cortex
1752,13,Right Accumbens,90,Left Cingulate Gyrus; anterior division
1753,32,Right Supramarginal Gyrus; anterior division,80,Left Supramarginal Gyrus; anterior division
1754,55,Right Central Opercular Cortex,74,Left Middle Temporal Gyrus; temporooccipital part
1755,38,Right Frontal Medial Cortex,3,Left Pallidum
1756,36,Right Lateral Occipital Cortex; inferior division,89,Left Paracingulate Gyrus
1757,99,Left Temporal Fusiform Cortex; posterior division,37,Right Intracalcarine Cortex
1758,55,Right Central Opercular Cortex,30,Right Postcentral Gyrus
1759,36,Right Lateral Occipital Cortex; inferior division,35,Right Lateral Occipital Cortex; superior division
1760,41,Right Paracingulate Gyrus,61,Right Occipital Pole
1761,56,Right Parietal Operculum Cortex,31,Right Superior Parietal Lobule
1762,70,Left Superior Temporal Gyrus; anterior division,1,Left Caudate
1763,76,Left Inferior Temporal Gyrus; posterior division,37,Right Intracalcarine Cortex
1764,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),54,Right Frontal Operculum Cortex
1765,59,Right Planum Temporale,6,Left Accumbens
1766,103,Left Central Opercular Cortex,58,Right Heschl's Gyrus (includes H1 and H2)
1767,69,Left Temporal Pole,38,Right Frontal Medial Cortex
1768,17,Right Middle Frontal Gyrus,4,Left Hippocampus
1769,50,Right Temporal Fusiform Cortex; anterior division,92,Left Precuneous Cortex
1770,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),56,Right Parietal Operculum Cortex
1771,55,Right Central Opercular Cortex,29,Right Inferior Temporal Gyrus; temporooccipital part
1772,10,Right Pallidum,92,Left Precuneous Cortex
1773,17,Right Middle Frontal Gyrus,59,Right Planum Temporale
1774,69,Left Temporal Pole,83,Left Lateral Occipital Cortex; superior division
1775,96,Left Parahippocampal Gyrus; posterior division,79,Left Superior Parietal Lobule
1776,69,Left Temporal Pole,80,Left Supramarginal Gyrus; anterior division
1777,76,Left Inferior Temporal Gyrus; posterior division,2,Left Putamen
1778,68,Left Precentral Gyrus,70,Left Superior Temporal Gyrus; anterior division
1779,53,Right Occipital Fusiform Gyrus,28,Right Inferior Temporal Gyrus; posterior division
1780,55,Right Central Opercular Cortex,7,Right Thalamus
1781,70,Left Superior Temporal Gyrus; anterior division,18,Right Inferior Frontal Gyrus; pars triangularis
1782,69,Left Temporal Pole,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1783,13,Right Accumbens,15,Right Insular Cortex
1784,36,Right Lateral Occipital Cortex; inferior division,102,Left Frontal Operculum Cortex
1785,27,Right Inferior Temporal Gyrus; anterior division,82,Left Angular Gyrus
1786,97,Left Lingual Gyrus,84,Left Lateral Occipital Cortex; inferior division
1787,70,Left Superior Temporal Gyrus; anterior division,44,Right Precuneous Cortex
1788,40,Right Subcallosal Cortex,75,Left Inferior Temporal Gyrus; anterior division
1789,27,Right Inferior Temporal Gyrus; anterior division,91,Left Cingulate Gyrus; posterior division
1790,27,Right Inferior Temporal Gyrus; anterior division,45,Right Cuneal Cortex
1791,28,Right Inferior Temporal Gyrus; posterior division,57,Right Planum Polare
1792,69,Left Temporal Pole,61,Right Occipital Pole
1793,7,Right Thalamus,44,Right Precuneous Cortex
1794,69,Left Temporal Pole,103,Left Central Opercular Cortex
1795,75,Left Inferior Temporal Gyrus; anterior division,52,Right Temporal Occipital Fusiform Cortex
1796,86,Left Frontal Medial Cortex,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
1797,68,Left Precentral Gyrus,83,Left Lateral Occipital Cortex; superior division
1798,54,Right Frontal Operculum Cortex,91,Left Cingulate Gyrus; posterior division
1799,75,Left Inferior Temporal Gyrus; anterior division,75,Left Inferior Temporal Gyrus; anterior division
1800,74,Left Middle Temporal Gyrus; temporooccipital part,63,Left Insular Cortex
1801,97,Left Lingual Gyrus,66,Left Inferior Frontal Gyrus; pars triangularis
1802,68,Left Precentral Gyrus,72,Left Middle Temporal Gyrus; anterior division
1803,17,Right Middle Frontal Gyrus,26,Right Middle Temporal Gyrus; temporooccipital part
1804,69,Left Temporal Pole,77,Left Inferior Temporal Gyrus; temporooccipital part
1805,98,Left Temporal Fusiform Cortex; anterior division,5,Left Amygdala
1806,33,Right Supramarginal Gyrus; posterior division,85,Left Intracalcarine Cortex
1807,62,Left Frontal Pole,76,Left Inferior Temporal Gyrus; posterior division
1808,22,Right Superior Temporal Gyrus; anterior division,9,Right Putamen
1809,46,Right Frontal Orbital Cortex,44,Right Precuneous Cortex
1810,108,Left Supracalcarine Cortex,71,Left Superior Temporal Gyrus; posterior division
1811,91,Left Cingulate Gyrus; posterior division,15,Right Insular Cortex
1812,22,Right Superior Temporal Gyrus; anterior division,29,Right Inferior Temporal Gyrus; temporooccipital part
1813,33,Right Supramarginal Gyrus; posterior division,34,Right Angular Gyrus
1814,46,Right Frontal Orbital Cortex,64,Left Superior Frontal Gyrus
1815,46,Right Frontal Orbital Cortex,72,Left Middle Temporal Gyrus; anterior division
1816,99,Left Temporal Fusiform Cortex; posterior division,30,Right Postcentral Gyrus
1817,38,Right Frontal Medial Cortex,55,Right Central Opercular Cortex
1818,33,Right Supramarginal Gyrus; posterior division,16,Right Superior Frontal Gyrus
1819,32,Right Supramarginal Gyrus; anterior division,96,Left Parahippocampal Gyrus; posterior division
1820,32,Right Supramarginal Gyrus; anterior division,95,Left Parahippocampal Gyrus; anterior division
1821,108,Left Supracalcarine Cortex,24,Right Middle Temporal Gyrus; anterior division
1822,63,Left Insular Cortex,66,Left Inferior Frontal Gyrus; pars triangularis
1823,63,Left Insular Cortex,69,Left Temporal Pole
1824,63,Left Insular Cortex,83,Left Lateral Occipital Cortex; superior division
1825,43,Right Cingulate Gyrus; posterior division,65,Left Middle Frontal Gyrus
1826,35,Right Lateral Occipital Cortex; superior division,96,Left Parahippocampal Gyrus; posterior division
1827,55,Right Central Opercular Cortex,60,Right Supracalcarine Cortex
1828,32,Right Supramarginal Gyrus; anterior division,63,Left Insular Cortex
1829,64,Left Superior Frontal Gyrus,23,Right Superior Temporal Gyrus; posterior division
1830,98,Left Temporal Fusiform Cortex; anterior division,109,Left Occipital Pole
1831,21,Right Temporal Pole,102,Left Frontal Operculum Cortex
1832,33,Right Supramarginal Gyrus; posterior division,98,Left Temporal Fusiform Cortex; anterior division
1833,33,Right Supramarginal Gyrus; posterior division,101,Left Occipital Fusiform Gyrus
1834,62,Left Frontal Pole,56,Right Parietal Operculum Cortex
1835,83,Left Lateral Occipital Cortex; superior division,12,Right Amygdala
1836,35,Right Lateral Occipital Cortex; superior division,35,Right Lateral Occipital Cortex; superior division
1837,35,Right Lateral Occipital Cortex; superior division,26,Right Middle Temporal Gyrus; temporooccipital part
1838,95,Left Parahippocampal Gyrus; anterior division,64,Left Superior Frontal Gyrus
1839,43,Right Cingulate Gyrus; posterior division,43,Right Cingulate Gyrus; posterior division
1840,8,Right Caudate,12,Right Amygdala
1841,60,Right Supracalcarine Cortex,88,Left Subcallosal Cortex
1842,14,Right Frontal Pole,3,Left Pallidum
1843,8,Right Caudate,31,Right Superior Parietal Lobule
1844,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),22,Right Superior Temporal Gyrus; anterior division
1845,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),70,Left Superior Temporal Gyrus; anterior division
1846,51,Right Temporal Fusiform Cortex; posterior division,70,Left Superior Temporal Gyrus; anterior division
1847,90,Left Cingulate Gyrus; anterior division,44,Right Precuneous Cortex
1848,53,Right Occipital Fusiform Gyrus,51,Right Temporal Fusiform Cortex; posterior division
1849,95,Left Parahippocampal Gyrus; anterior division,86,Left Frontal Medial Cortex
1850,35,Right Lateral Occipital Cortex; superior division,69,Left Temporal Pole
1851,38,Right Frontal Medial Cortex,95,Left Parahippocampal Gyrus; anterior division
1852,5,Left Amygdala,3,Left Pallidum
1853,43,Right Cingulate Gyrus; posterior division,106,Left Heschl's Gyrus (includes H1 and H2)
1854,38,Right Frontal Medial Cortex,91,Left Cingulate Gyrus; posterior division
1855,14,Right Frontal Pole,42,Right Cingulate Gyrus; anterior division
1856,99,Left Temporal Fusiform Cortex; posterior division,63,Left Insular Cortex
1857,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),89,Left Paracingulate Gyrus
